"","breed","egg_color","eggs_per_week","avg_weight_kg","avg_time_1st_egg_wk","avg_egg_laying_durration_yrs","avg_feed_consumption_gperwk"
"1","Rhode Island Red","light brown",5,2.7,18,5,748
"2","Rhode Island Red","light brown",6,3,19,4.5,750
"3","Rhode Island Red","light brown",5,3.1,20,6,745
"4","Barred Rock","light brown",4,3.6,19,4,900
"5","Barred Rock","light brown",4,3.2,20,5,907
"6","Barred Rock","light brown",5,3.8,21,6,912
"7","White Leghorn","white",5,2,17,2.7,680
"8","White Leghorn","white",6,1.8,18,3,650
"9","White Leghorn","white",6,2.2,19,3.5,700
"10","Buff Orpington","brown",4,2.7,20,5,793
"11","Buff Orpington","brown",4,2.2,22,6,785
"12","Buff Orpington","brown",4,2.9,24,7,800
"13","Easter Egger","blue",4,2,18,3.5,770
"14","Easter Egger","blue",4,2.1,20,4,760
"15","Easter Egger","blue",4,2.3,22,4.5,780
